fcc_bulk,twin_HCP,IhDh_spine,Ihcenter,Dh_notch_edge,surface111,surface100,IhDh_edge,edge_111_100,edge_111_111,Dh_notch_vertex,IhDh_vertex,tetrahedral_edge,TO_vertex,CO_vertex,Unknown,Temp,Ag,Cu,Pd,Au
0.0,14.0,16.0,1.0,0.0,6.0,0.0,28.0,4.0,0.0,1.0,7.0,0.0,2.0,0.0,21.0,630.0,1.0,0.0,0.0,0.0
9.0,15.0,4.0,0.0,9.0,9.0,0.0,10.0,9.0,0.0,9.0,2.0,0.0,19.0,0.0,5.0,450.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,7.0,8.0,0.0,0.0,0.0,75.0,850.0,1.0,0.0,0.0,0.0
9.0,15.0,4.0,0.0,9.0,9.0,0.0,10.0,9.0,0.0,9.0,2.0,0.0,19.0,0.0,5.0,400.0,1.0,0.0,0.0,0.0
10.0,15.0,3.0,0.0,10.0,10.0,0.0,5.0,10.0,0.0,15.0,1.0,0.0,20.0,0.0,1.0,325.0,1.0,0.0,0.0,0.0
0.0,5.0,6.0,0.0,0.0,6.0,0.0,27.0,3.0,0.0,3.0,5.0,0.0,3.0,0.0,42.0,620.0,1.0,0.0,0.0,0.0
0.0,2.0,1.0,0.0,2.0,1.0,0.0,11.0,0.0,0.0,5.0,7.0,0.0,5.0,0.0,66.0,610.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,9.0,0.0,1.0,0.0,75.0,640.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,0.0,87.0,800.0,1.0,0.0,0.0,0.0
0.0,14.0,16.0,1.0,0.0,6.0,0.0,28.0,4.0,0.0,1.0,7.0,0.0,2.0,0.0,21.0,610.0,1.0,0.0,0.0,0.0
9.0,15.0,4.0,0.0,6.0,9.0,2.0,10.0,7.0,0.0,8.0,2.0,0.0,20.0,0.0,8.0,325.0,1.0,0.0,0.0,0.0
0.0,15.0,15.0,1.0,0.0,6.0,0.0,24.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,23.0,525.0,1.0,0.0,0.0,0.0
6.0,15.0,4.0,0.0,3.0,8.0,3.0,16.0,10.0,0.0,4.0,2.0,1.0,10.0,0.0,18.0,630.0,1.0,0.0,0.0,0.0
0.0,14.0,16.0,1.0,0.0,6.0,0.0,28.0,4.0,0.0,1.0,7.0,0.0,2.0,0.0,21.0,425.0,1.0,0.0,0.0,0.0
1.0,10.0,5.0,0.0,2.0,8.0,1.0,22.0,1.0,1.0,6.0,5.0,0.0,6.0,0.0,32.0,620.0,1.0,0.0,0.0,0.0
0.0,6.0,5.0,0.0,1.0,5.0,0.0,24.0,2.0,0.0,6.0,9.0,0.0,0.0,0.0,42.0,575.0,1.0,0.0,0.0,0.0
8.0,16.0,4.0,0.0,5.0,8.0,2.0,11.0,7.0,0.0,6.0,2.0,0.0,19.0,0.0,12.0,500.0,1.0,0.0,0.0,0.0
9.0,15.0,4.0,0.0,9.0,9.0,0.0,10.0,9.0,0.0,9.0,2.0,0.0,19.0,0.0,5.0,375.0,1.0,0.0,0.0,0.0
0.0,14.0,16.0,1.0,0.0,6.0,0.0,28.0,4.0,0.0,1.0,7.0,0.0,2.0,0.0,21.0,475.0,1.0,0.0,0.0,0.0
1.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,4.0,6.0,0.0,4.0,0.0,69.0,660.0,1.0,0.0,0.0,0.0
0.0,14.0,16.0,1.0,0.0,6.0,0.0,28.0,4.0,0.0,1.0,7.0,0.0,2.0,0.0,21.0,400.0,1.0,0.0,0.0,0.0
0.0,15.0,15.0,1.0,0.0,6.0,0.0,24.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,23.0,600.0,1.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,2.0,2.0,0.0,7.0,0.0,0.0,7.0,4.0,0.0,4.0,0.0,72.0,680.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,4.0,0.0,3.0,0.0,82.0,825.0,1.0,0.0,0.0,0.0
9.0,15.0,4.0,0.0,6.0,9.0,2.0,10.0,7.0,0.0,8.0,2.0,0.0,20.0,0.0,8.0,450.0,1.0,0.0,0.0,0.0
9.0,15.0,4.0,0.0,9.0,9.0,0.0,10.0,9.0,0.0,9.0,2.0,0.0,19.0,0.0,5.0,350.0,1.0,0.0,0.0,0.0
0.0,6.0,5.0,0.0,1.0,6.0,0.0,30.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,41.0,725.0,1.0,0.0,0.0,0.0
0.0,2.0,2.0,0.0,4.0,3.0,0.0,13.0,1.0,0.0,8.0,5.0,1.0,5.0,0.0,56.0,690.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,73.0,700.0,1.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,84.0,875.0,1.0,0.0,0.0,0.0
3.0,1.0,0.0,0.0,1.0,2.0,0.0,6.0,2.0,2.0,5.0,10.0,0.0,6.0,0.0,62.0,640.0,1.0,0.0,0.0,0.0
0.0,2.0,4.0,0.0,1.0,1.0,0.0,12.0,0.0,2.0,9.0,7.0,0.0,3.0,0.0,59.0,775.0,1.0,0.0,0.0,0.0
0.0,5.0,5.0,0.0,0.0,7.0,0.0,23.0,0.0,1.0,7.0,7.0,0.0,1.0,0.0,44.0,670.0,1.0,0.0,0.0,0.0
0.0,3.0,10.0,0.0,0.0,6.0,0.0,36.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,31.0,550.0,1.0,0.0,0.0,0.0
0.0,14.0,15.0,1.0,1.0,6.0,0.0,23.0,3.0,0.0,7.0,6.0,0.0,2.0,0.0,22.0,800.0,1.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,7.0,2.0,0.0,5.0,0.0,79.0,850.0,1.0,0.0,0.0,0.0
10.0,15.0,3.0,0.0,10.0,10.0,0.0,5.0,10.0,0.0,15.0,1.0,0.0,20.0,0.0,1.0,300.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,6.0,6.0,0.0,4.0,1.0,74.0,750.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,0.0,2.0,1.0,6.0,0.0,4.0,0.0,70.0,900.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,8.0,5.0,0.0,1.0,0.0,81.0,650.0,1.0,0.0,0.0,0.0
0.0,3.0,2.0,0.0,1.0,1.0,0.0,16.0,2.0,2.0,7.0,9.0,0.0,1.0,0.0,72.0,750.0,1.0,0.0,0.0,0.0
31.0,7.0,0.0,0.0,0.0,21.0,3.0,0.0,18.0,0.0,6.0,0.0,0.0,24.0,0.0,6.0,325.0,1.0,0.0,0.0,0.0
24.0,13.0,0.0,0.0,0.0,17.0,1.0,0.0,12.0,1.0,8.0,0.0,0.0,23.0,1.0,16.0,650.0,1.0,0.0,0.0,0.0
31.0,7.0,0.0,0.0,0.0,21.0,3.0,0.0,18.0,0.0,6.0,0.0,0.0,24.0,0.0,6.0,375.0,1.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,9.0,5.0,0.0,1.0,0.0,94.0,850.0,1.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,3.0,4.0,2.0,0.0,7.0,0.0,84.0,900.0,1.0,0.0,0.0,0.0
0.0,20.0,18.0,1.0,0.0,10.0,0.0,35.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,20.0,550.0,1.0,0.0,0.0,0.0
0.0,6.0,3.0,0.0,0.0,6.0,0.0,14.0,2.0,0.0,9.0,7.0,0.0,0.0,0.0,69.0,740.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,8.0,0.0,3.0,0.0,97.0,825.0,1.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,350.0,1.0,0.0,0.0,0.0
0.0,20.0,18.0,1.0,0.0,10.0,0.0,35.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,20.0,575.0,1.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,11.0,8.0,0.0,2.0,0.0,83.0,730.0,1.0,0.0,0.0,0.0
0.0,20.0,18.0,1.0,0.0,10.0,0.0,35.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,20.0,600.0,1.0,0.0,0.0,0.0
0.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,2.0,9.0,8.0,0.0,2.0,0.0,83.0,680.0,1.0,0.0,0.0,0.0
17.0,21.0,0.0,0.0,0.0,15.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,24.0,0.0,15.0,400.0,1.0,0.0,0.0,0.0
15.0,20.0,0.0,0.0,1.0,13.0,0.0,0.0,8.0,6.0,6.0,0.0,0.0,19.0,1.0,27.0,660.0,1.0,0.0,0.0,0.0
24.0,14.0,0.0,0.0,0.0,18.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,24.0,0.0,12.0,300.0,1.0,0.0,0.0,0.0
